timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
222718414096,-5,-69,-3,9,22,18,43,20
222718414096,44,95,91,19,-10,-34,-107,-17
222718422579,-20,-44,-10,20,32,14,59,19
222718422579,-17,-52,-28,-22,6,8,-56,-5
222718437552,-24,-5,-19,-18,-27,-4,-15,-21
222718437552,2,-8,6,6,-3,-4,13,-50
222718439085,3,48,5,16,23,26,9,22
222718439085,26,2,4,6,8,19,40,11
222718460024,0,0,-7,1,20,11,-38,-90
222718460024,-39,-42,-8,9,-28,-5,-48,-23
222718461626,18,13,-13,-21,-20,3,63,27
222718461626,37,4,-11,-61,-82,-42,-30,35
222718473631,-77,12,27,15,31,18,67,-53
222718473631,31,8,-7,25,73,-8,27,57
222718482604,-9,-71,-8,13,-2,7,57,36
222718482604,2,58,34,-8,-22,6,62,-72
222718497455,26,15,-5,0,-4,13,-39,47
222718497455,-25,-88,-40,2,14,-2,31,0
222718499087,-5,52,2,8,2,-31,-72,-13
222718499087,58,102,98,51,62,57,60,28
222718520555,-48,-65,2,-12,-16,0,-80,5
222718520555,3,10,-7,6,14,10,13,8
222718522013,-5,-87,-23,-8,10,2,-52,-45
222718522013,-32,-36,-46,-15,-1,-23,-19,-37
222718533576,45,71,-7,-11,-49,-2,31,63
222718533576,-28,-13,8,-16,-23,-16,51,-40
222718550083,-76,-29,-22,-18,-8,-47,-85,-128
222718550083,-6,-67,-48,-30,-30,1,82,81
222718557466,21,20,13,17,-8,-20,-1,-10
222718557466,22,56,28,21,34,-4,-41,-8
222718559080,10,19,-8,-42,-86,-21,24,42
222718559080,-14,-38,-16,15,24,19,19,-29
222718580129,18,38,-5,0,0,-8,-43,-7
222718580129,7,-59,28,-12,-9,0,-61,39
222718581727,22,73,72,61,76,12,-21,19
222718581727,-1,41,1,-14,-22,-11,-49,-15
222718593602,-27,-78,-83,-28,-20,-13,-1,-46
222718593602,12,16,-47,8,18,13,-11,9
222718603249,15,8,37,-6,-18,30,96,34
222718603249,-1,46,25,27,45,-54,-91,-70
222718617578,-11,-3,36,3,-12,0,26,17
222718617578,1,-26,-17,-8,32,25,97,86
222718619072,18,-16,-41,-23,-62,-9,-51,-39
222718619072,33,54,12,8,48,18,69,44
222718639134,10,-11,9,21,31,14,-32,43
222718639134,-13,26,7,-46,-119,-69,-92,-68
222718647576,28,-11,-18,34,105,70,127,51
222718647576,-26,58,-2,-41,-80,-33,-48,-28
222718653612,-8,11,21,18,37,-1,-1,8
222718653612,6,-6,12,24,-1,15,56,25
222718662598,42,-44,23,41,36,47,3,94
222718662598,-22,62,58,22,14,-2,-10,-89
222718684938,-62,-65,-71,-49,-30,-55,-13,-7
222718684938,51,63,27,38,21,31,63,86
222718686597,-71,-19,-6,-18,-5,-41,-96,-126
222718686597,63,-20,-25,-2,-9,24,88,127
222718699914,24,45,38,14,-23,13,69,-23
222718699914,-84,-87,-38,-32,7,-17,-57,-71
222718701529,-17,6,-28,-17,16,-9,-17,-38
222718701529,1,-49,-17,2,4,-4,-28,-3
222718722466,27,38,17,8,-15,1,-9,42
222718722466,16,-30,-10,-45,-63,-5,53,61
222718724118,-24,72,13,-1,1,-31,-6,-68
222718724118,-43,-33,-6,5,1,9,-20,-37
222718737564,7,-48,0,-2,8,-7,-53,-40
222718737564,-15,46,-7,10,17,8,-2,49
222718739102,10,-32,30,-17,-23,-4,-50,-40
222718739102,4,-5,-4,32,11,-2,51,-16
222718760024,-11,-39,52,4,6,-1,-34,-14
222718760024,50,85,18,24,12,16,41,29
222718761553,-1,7,-30,-34,-30,-6,-21,42
222718761553,-23,-80,-18,-8,-6,-4,-26,37
222718782569,13,22,1,7,51,15,54,60
222718782569,8,2,8,20,-14,-24,-44,-52
222718784090,8,3,-4,-14,-76,3,73,70
222718784090,12,-7,-15,-40,-7,8,61,13
222718797593,-10,27,-14,24,57,-2,-75,-25
222718797593,-6,-12,2,-44,-37,-11,-8,-25
222718799070,8,12,-4,37,64,5,28,14
222718799070,-28,-13,-14,-21,-49,-1,-1,-24
222718820112,-8,-56,-12,-15,-26,13,34,-9
222718820112,31,24,-15,0,38,26,69,5
222718821557,-33,-36,-5,3,-1,-45,-82,-88
222718821557,3,53,105,16,-2,-16,-2,-32
222718841656,29,17,-99,-2,16,5,-8,23
222718841656,-21,-70,61,17,-3,4,-15,-34
222718850041,-26,-31,-12,-25,-4,-1,-22,43
222718850041,18,80,-18,12,14,-2,-28,-41
222718856776,8,41,-1,6,66,26,-24,5
222718856776,-14,6,14,-16,-104,-23,25,9
222718863593,12,14,9,19,8,8,-19,-49
222718863593,-9,-25,-15,11,39,22,-16,26
222718880089,8,4,-24,-57,-71,-16,11,-47
222718880089,-4,12,-17,30,83,30,30,55
222718881693,-9,-4,16,-7,-13,-23,12,-32
222718881693,-4,-40,-39,10,7,17,21,32
222718902576,14,31,16,-10,-24,-15,15,-21
222718902576,-28,-19,-5,-4,0,4,15,-7
222718904091,19,44,2,-3,-2,2,-5,42
222718904091,10,-62,-13,12,16,-4,11,53
222718916948,-32,3,45,4,-23,-19,-63,-63
222718916948,5,34,-2,17,30,2,-16,-31
222718923564,3,-27,12,27,56,21,35,45
222718923564,32,-20,-22,-29,-50,20,38,84
222718940062,30,107,49,-5,-19,-15,17,9
222718940062,-89,-128,-28,-17,-7,-22,-31,-100
222718941562,36,51,1,60,102,25,7,40
222718941562,-35,-15,-23,-84,-94,-36,-45,-48
222718962467,14,-23,-4,22,12,8,76,52
222718962467,34,45,-1,-7,0,16,38,-24
222718964053,-48,-46,-38,-65,-90,-48,0,-64
222718964053,-4,27,12,33,19,-15,-18,46
222718976826,2,-14,32,42,66,34,35,11
222718976826,11,22,-7,5,-5,-7,-40,35
222718983718,20,-28,-66,-38,-34,1,34,46
222718983718,16,52,28,18,46,19,20,-38
222719000049,-16,-79,27,-6,-11,2,-72,-33
222719000049,28,56,18,35,45,-9,-52,37
222719001564,-35,-30,17,-10,-33,-13,-17,-44
222719001564,10,7,-6,13,21,25,11,18
222719022413,46,34,13,23,11,13,72,96
222719022413,-14,-67,-26,-31,-13,-40,-81,-5
222719024250,-10,-14,-6,-9,-12,11,35,-1
222719024250,-5,5,-6,9,16,-3,39,15
222719036876,-1,-6,-3,15,1,-8,35,57
222719036876,30,-6,-1,-37,-32,29,51,50
222719043744,23,81,7,-2,0,-5,19,47
222719043744,-64,-97,-10,9,22,-24,-71,-85
222719059896,5,23,-12,31,95,15,19,18
222719059896,-25,-7,-17,-81,-108,-49,-29,-30
222719061528,13,16,46,13,65,22,10,34
222719061528,27,34,34,5,16,32,24,15
222719082438,-25,-13,-57,-12,-7,-29,-37,-26
222719082438,43,16,33,83,96,-4,-6,-21
222719084054,-41,-32,-18,-18,-16,2,-18,-6
222719084054,12,26,28,3,-30,17,-9,-17
222719096822,56,19,8,-12,-60,25,29,1
222719096822,-28,-9,10,94,105,-13,-15,14
222719103550,70,16,-19,-43,-77,53,0,-14
222719103550,23,-40,-45,-91,-31,-99,18,-8
222719127516,67,25,16,40,45,20,-17,-13
222719127516,-89,-13,-8,-48,-84,-68,-25,37
222719129103,-21,-41,-12,21,124,28,29,-24
222719129103,2,21,-3,39,26,34,-3,-17
222719142460,29,22,9,-45,-75,0,10,4
222719142460,-48,50,20,53,85,43,-1,18
222719144097,-64,-45,7,42,40,57,33,-52
222719144097,11,-31,-21,-41,-106,-89,-111,-31
222719156048,-2,-12,-15,-31,-46,-21,57,-8
222719156048,43,31,2,-13,-9,34,22,-1
